| Instвncia    |  Algoritmo         |  Tempo de execuзгo (s)                           |  Uso de memуria (MB)              |  Qualidade da soluзгo                           |
|--------------|--------------------|--------------------------------------------------|-----------------------------------|-------------------------------------------------|-------------|--------------------|-----------------------------------------------|--------------------------------|-----------------------------------------------|
| a10.tsp      |  twice_around_tree |  Tempo de execuo: 0.0010008811950683594 segundos | Uso de memria: 0.0703125 MB       | Qualidade da soluo (distncia total): 3439.0     |
|--------------|--------------------|--------------------------------------------------|-----------------------------------|-------------------------------------------------|-------------|--------------------|-----------------------------------------------|--------------------------------|-----------------------------------------------|
| a10.tsp      |  christofides      |  Tempo de execuo: 0.0020024776458740234 segundos |  Uso de memria: 0.1015625 MB      |  Qualidade da soluo (distncia total): 2900.0    |
|--------------|--------------------|--------------------------------------------------|-----------------------------------|-------------------------------------------------|-------------|--------------------|-----------------------------------------------|--------------------------------|-----------------------------------------------|
| a10.tsp      |  branch_and_bound  |  Tempo de execuo: 7.4109766483306885 segundos    |  Uso de memria: 2.4140625 MB      |  Qualidade da soluo (distncia total): 2160.0    |
|--------------|--------------------|--------------------------------------------------|-----------------------------------|-------------------------------------------------|-------------|--------------------|-----------------------------------------------|--------------------------------|-----------------------------------------------|
| b15.tsp      |  twice_around_tree |  Tempo de execuo: 0.002002239227294922 segundos  |  Uso de memria: 0.09375 MB        |  Qualidade da soluo (distncia total): 3345.0    |
|--------------|--------------------|--------------------------------------------------|-----------------------------------|-------------------------------------------------|-------------|--------------------|-----------------------------------------------|--------------------------------|-----------------------------------------------|
| b15.tsp      |  christofides      |  Tempo de execuo: 0.008352041244506836 segundos  |  Uso de memria: 0.125 MB          |  Qualidade da soluo (distncia total): 2782.0    |
|--------------|--------------------|--------------------------------------------------|-----------------------------------|-------------------------------------------------|-------------|--------------------|-----------------------------------------------|--------------------------------|-----------------------------------------------|
| b15.tsp      |  branch_and_bound  |  Timeout                                         |  1                                |
|--------------|--------------------|--------------------------------------------------|-----------------------------------|-------------------------------------------------|-------------|--------------------|-----------------------------------------------|--------------------------------|-----------------------------------------------|
| a20.tsp      |  twice_around_tree |  Tempo de execuo: 0.0 segundos                   |  Uso de memria: 0.125 MB          |  Qualidade da soluo (distncia total): 3488.0    |
|--------------|--------------------|--------------------------------------------------|-----------------------------------|-------------------------------------------------|-------------|--------------------|-----------------------------------------------|--------------------------------|-----------------------------------------------|
| a20.tsp      |  christofides      |  Tempo de execuo: 0.0 segundos                   |  Uso de memria: 0.17578125 MB     |  Qualidade da soluo (distncia total): 3236.0    |
|--------------|--------------------|--------------------------------------------------|-----------------------------------|-------------------------------------------------|-------------|--------------------|-----------------------------------------------|--------------------------------|-----------------------------------------------|
| a30.tsp      |  twice_around_tree |  Tempo de execuo: 0.0 segundos                   |  Uso de memria: 0.171875 MB       |  Qualidade da soluo (distncia total): 4364.0    |
|--------------|--------------------|--------------------------------------------------|-----------------------------------|-------------------------------------------------|-------------|--------------------|-----------------------------------------------|--------------------------------|-----------------------------------------------|
| a30.tsp      |  christofides      |  Tempo de execuo: 0.0 segundos                   |  Uso de memria: 0.2421875 MB      |  Qualidade da soluo (distncia total): 3844.0    |
|--------------|--------------------|--------------------------------------------------|-----------------------------------|-------------------------------------------------|-------------|--------------------|-----------------------------------------------|--------------------------------|-----------------------------------------------|
| eil51.tsp    |  twice_around_tree |  Tempo de execuo: 0.01564621925354004 segundos   |  Uso de memria: 0.64453125 MB     |  Qualidade da soluo (distncia total): 584.0     |
|--------------|--------------------|--------------------------------------------------|-----------------------------------|-------------------------------------------------|-------------|--------------------|-----------------------------------------------|--------------------------------|-----------------------------------------------|
| eil51.tsp    |  christofides      |  Tempo de execuo: 0.025173187255859375 segundos  |  Uso de memria: 0.69921875 MB     |  Qualidade da soluo (distncia total): 462.0     |
|--------------|--------------------|--------------------------------------------------|-----------------------------------|-------------------------------------------------|-------------|--------------------|-----------------------------------------------|--------------------------------|-----------------------------------------------|
