Instancia,Algoritmo,Tempo de execucao (s),Uso de memoria (MB),Solucao
rd400.tsp, christofides, 5.232697010040283,  35.828125,  17501.0
fl417.tsp, twice_around_tree, 0.9411828517913818,  34.625,  16200.0
fl417.tsp, christofides, 2.4249329566955566,  34.73046875,  13175.0
pr439.tsp, twice_around_tree, 0.7729957103729248,  39.13671875,  144623.0
pr439.tsp, christofides, 4.0165932178497314,  34.8203125,  119525.0
pcb442.tsp, twice_around_tree, 1.3215312957763672,  40.234375,  69223.0
pcb442.tsp, christofides, 6.013031005859375,  39.85546875,  54868.0
d493.tsp, twice_around_tree, 1.278400182723999,  44.2109375,  44884.0
d493.tsp, christofides, 10.276641368865967,  49.13671875,  38697.0
u574.tsp, twice_around_tree, 1.3283741474151611,  60.875,  48902.0
u574.tsp, christofides, 9.509456634521484,  63.58203125,  41424.0
rat575.tsp, twice_around_tree, 1.3046159744262695,  59.12890625,  9393.0
rat575.tsp, christofides, 9.3036208152771,  61.5703125,  7811.0
p654.tsp, twice_around_tree, 1.745330810546875,  76.02734375,  49699.0
p654.tsp, christofides, 2.882143020629883,  76.94140625,  39292.0
d657.tsp, twice_around_tree, 1.8494243621826172,  83.9375,  66342.0
d657.tsp, christofides, 16.49935531616211,  86.74609375,  55007.0 
u724.tsp, twice_around_tree, 3.097815990447998,  100.98828125,  57721.0
u724.tsp, christofides, 20.640677452087402,  109.5234375,  47431.0 
rat783.tsp, twice_around_tree, 2.62933611869812,  114.82421875,  11921.0
rat783.tsp, christofides, 22.411659717559814,  130.0703125,  10036.0 
pr1002.tsp, twice_around_tree, 4.761837005615234,  175.8359375,  342216.0
pr1002.tsp, christofides, 49.89134740829468,  199.859375,  286203.0 
u1060.tsp, twice_around_tree, 7.073614597320557,  205.6015625,  305849.0
u1060.tsp, christofides, 53.71830439567566,  224.2890625,  249289.0
vm1084.tsp, twice_around_tree, 5.6143269538879395,  221.11328125,  315277.0
vm1084.tsp, christofides, 43.37251353263855,  228.90625,  260770.0
